request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 72,852,162.35 available over the next 90 days."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 today. This leaves at least ZAR 72,737.98 available over the next 90 days."
request_28,288.88,affordable_with_plan,installments,2024-06-21:73.18|2024-07-21:73.18|2024-08-21:73.18|2024-09-21:73.18|2024-10-21:73.18|2024-11-21:73.18|2024-12-21:73.18|2025-01-21:73.18|2025-02-21:73.18|2025-03-21:73.18|2025-04-21:73.18|2025-05-21:73.18|2025-06-21:73.18|2025-07-21:73.18|2025-08-21:73.18|2025-09-21:73.18|2025-10-21:73.18|2025-11-21:73.18|2025-12-21:73.18|2026-01-21:73.18|2026-02-21:73.18,2024-08-15,none,"Use 21 installments of EUR 73.18, starting 21 June 2024. This leaves at least EUR 1,388.88 available."
request_29,7581.47,not_affordable,not_recommended,none,,none,"Do not make this payment by 23 November 2025. None of the available options keeps the ZAR 28,300 minimum protected."
request_30,775.2,affordable_now,full_payment,2026-04-06:775.20,2026-04-06,none,"Pay USD 775.20 today. This leaves at least USD 2,890.76 available over the next 90 days."
request_31,2638940.88,affordable_with_plan,installments,2024-09-10:1020643.81|2024-10-10:1020643.81|2024-11-10:1020643.81|2024-12-10:1020643.81|2025-01-10:1020643.81|2025-02-10:1020643.81|2025-03-10:1020643.81|2025-04-10:1020643.81|2025-05-10:1020643.81|2025-06-10:1020643.81|2025-07-10:1020643.81|2025-08-10:1020643.81|2025-09-10:1020643.81|2025-10-10:1020643.81|2025-11-10:1020643.81|2025-12-10:1020643.81|2026-01-10:1020643.81|2026-02-10:1020643.81|2026-03-10:1020643.81|2026-04-10:1020643.81|2026-05-10:1020643.81,2024-11-15,none,"Use 21 installments of IDR 1,020,643.81, starting 10 September 2024. This leaves at least IDR 18,207,197.07 available."
request_32,13234.21,affordable_with_plan,installments,2025-02-19:2934.65|2025-03-19:2934.65|2025-04-19:2934.65|2025-05-19:2934.65|2025-06-19:2934.65|2025-07-19:2934.65|2025-08-19:2934.65|2025-09-19:2934.65|2025-10-19:2934.65|2025-11-19:2934.65|2025-12-19:2934.65|2026-01-19:2934.65|2026-02-19:2934.65|2026-03-19:2934.65|2026-04-19:2934.65,2025-02-05,none,"Use 15 installments of ZAR 2,934.65, starting 19 February 2025. This leaves at least ZAR 47,268 available."
request_33,24835.98,affordable_with_plan,installments,2026-01-07:7473.33|2026-02-07:7473.33|2026-03-07:7473.33|2026-04-07:7473.33|2026-05-07:7473.33|2026-06-07:7473.33|2026-07-07:7473.33|2026-08-07:7473.33|2026-09-07:7473.33|2026-10-07:7473.33|2026-11-07:7473.33|2026-12-07:7473.33|2027-01-07:7473.33|2027-02-07:7473.33|2027-03-07:7473.33|2027-04-07:7473.33|2027-05-07:7473.33|2027-06-07:7473.33,2026-01-07,none,"Use 18 installments of INR 7,473.33, starting 07 January 2026. This leaves at least INR 119,462.65 available."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 419,197.59 available over the next 90 days."
request_35,22896.85,affordable_with_plan,installments,2025-11-06:15546.67|2025-12-06:15546.67|2026-01-06:15546.67|2026-02-06:15546.67|2026-03-06:15546.67|2026-04-06:15546.67|2026-05-06:15546.67|2026-06-06:15546.67|2026-07-06:15546.67|2026-08-06:15546.67|2026-09-06:15546.67|2026-10-06:15546.67|2026-11-06:15546.67|2026-12-06:15546.67|2027-01-06:15546.67,2026-01-15,none,"Use 15 installments of INR 15,546.67, starting 06 November 2025. This leaves at least INR 113,750.18 available."
